feature,count0@False,count1@False,count0@True,count1@True
approaches,6273,851,2032,266
deep,6277,847,1961,337
given,6281,843,2059,239
provide,6283,841,2004,294
demonstrate,6287,837,1854,444
tasks,6291,833,1907,391
order,6328,796,2062,236
high,6336,788,2010,288
existing,6338,786,1973,325
they,6348,776,2083,215
techniques,6350,774,2143,155
applications,6353,771,2060,238
accuracy,6366,758,2068,230
process,6366,758,2133,165
representation,6376,748,2105,193
better,6405,719,2045,253
important,6412,712,2111,187
efficient,6427,697,1984,314
research,6438,686,2206,92
datasets,6448,676,1966,332
non,6454,670,1989,309
structure,6458,666,2066,232
about,6463,661,2160,138
general,6467,657,2055,243
space,6473,651,2068,230
them,6475,649,2135,163
through,6476,648,2129,169
world,6480,644,2113,185
there,6481,643,2143,155
various,6481,643,2151,147
human,6488,636,2148,150
text,6491,633,2123,175
multi,6500,624,2102,196
may,6503,621,2150,148
natural,6503,621,2059,239
dataset,6505,619,2102,196
learn,6506,618,2010,288
experimental,6507,617,2126,172
compared,6515,609,2139,159
level,6518,606,2131,167
introduce,6525,599,1979,319
any,6529,595,2077,221
domain,6532,592,2157,141
function,6538,586,1996,302
very,6546,578,2115,183
known,6546,578,2100,198
feature,6549,575,2097,201
recent,6552,572,2072,226
best,6560,564,2119,179
input,6561,563,2094,204
decision,6563,561,2202,96
particular,6564,560,2158,140
multiple,6564,560,2119,179
simple,6569,555,2001,297
without,6569,555,2101,197
three,6571,553,2168,130
under,6574,550,2071,227
available,6574,550,2170,128
previous,6581,543,2044,254
semantic,6586,538,2169,129
word,6588,536,2039,259
computational,6590,534,2123,175
search,6594,530,2194,104
evaluation,6596,528,2154,144
context,6597,527,2153,145
often,6598,526,2104,194
terms,6599,525,2146,152
called,6600,524,2158,140
improve,6602,522,2083,215
processing,6604,520,2210,88
further,6605,519,2149,149
recognition,6605,519,2197,101
single,6616,508,2125,173
complexity,6616,508,2117,181
case,6620,504,2109,189
way,6621,503,2161,137
linear,6621,503,1997,301
standard,6623,501,2061,237
applied,6623,501,2163,135
so,6623,501,2171,127
trained,6629,495,2073,225
evaluate,6636,488,2129,169
optimal,6638,486,2089,209
specific,6638,486,2152,146
same,6638,486,2139,159
allows,6644,480,2118,180
possible,6646,478,2163,135
optimization,6647,477,2003,295
including,6647,477,2132,166
able,6647,477,2159,139
find,6648,476,2155,143
even,6651,473,2119,179
application,6658,466,2218,80
provides,6660,464,2175,123
will,6663,461,2229,69
complex,6664,460,2154,144
sets,6666,458,2164,134
words,6669,455,2113,185
due,6670,454,2173,125
significantly,6670,454,2078,220
quality,6670,454,2170,128
thus,6673,451,2163,135
representations,6673,451,2045,253
finally,6673,451,2178,120
recently,6677,447,2103,195
result,6682,442,2154,144
was,6682,442,2239,59
describe,6683,441,2203,95
properties,6683,441,2133,165
shown,6687,437,2187,111
class,6687,437,2095,203
up,6689,435,2140,158
test,6689,435,2151,147
technique,6690,434,2181,117
scale,6691,433,2105,193
related,6691,433,2177,121
image,6691,433,2131,167
achieve,6695,429,2108,190
solution,6695,429,2181,117
do,6696,428,2187,111
make,6696,428,2164,134
if,6696,428,2187,111
form,6697,427,2157,141
significant,6698,426,2128,170
out,6700,424,2214,84
like,6702,422,2188,110
perform,6703,421,2161,137
within,6710,414,2197,101
consider,6713,411,2083,215
user,6713,411,2228,70
detection,6715,409,2240,58
need,6716,408,2212,86
functions,6717,407,2103,195
prediction,6718,406,2089,209
effective,6719,405,2151,147
presents,6720,404,2244,54
current,6721,403,2195,103
automatically,6722,402,2203,95
architecture,6723,401,2157,141
online,6727,397,2154,144
parameters,6727,397,2106,192
second,6727,397,2189,109
theory,6728,396,2214,84
obtained,6729,395,2211,87
modeling,6730,394,2117,181
developed,6731,393,2251,47
convolutional,6734,390,2139,159
no,6734,390,2147,151
among,6735,389,2206,92
inference,6736,388,2079,219
main,6737,387,2211,87
outperforms,6737,387,2072,226
low,6737,387,2105,193
vector,6738,386,2150,148
speech,6741,383,2241,57
small,6742,382,2127,171
probabilistic,6743,381,2199,99
uses,6745,379,2174,124
compare,6746,378,2229,69
design,6747,377,2190,108
develop,6751,373,2100,198
address,6754,370,2166,132
error,6754,370,2131,167
similar,6757,367,2188,110
making,6758,366,2208,90
reasoning,6759,365,2258,40
bayesian,6760,364,2164,134
learned,6761,363,2138,160
graph,6761,363,2185,113
supervised,6761,363,2141,157
support,6763,361,2230,68
those,6765,359,2228,70
presented,6766,358,2270,28
domains,6766,358,2167,131
much,6767,357,2171,127
logic,6767,357,2278,20
were,6769,355,2264,34
being,6769,355,2213,85
users,6769,355,2244,54
common,6769,355,2190,108
here,6769,355,2227,71
traditional,6770,354,2201,97
effectiveness,6770,354,2172,126
solve,6771,353,2210,88
key,6772,352,2176,122
focus,6773,351,2227,71
during,6774,350,2208,90
size,6775,349,2170,128
generated,6777,347,2187,111
addition,6778,346,2217,81
long,6779,345,2163,135
attention,6780,344,2167,131
probability,6780,344,2160,138
computer,6781,343,2243,55
types,6782,342,2219,79
local,6785,339,2169,129
solving,6785,339,2207,91
distribution,6786,338,2086,212
example,6786,338,2186,112
automatic,6787,337,2247,51
good,6789,335,2196,102
shows,6789,335,2206,92
since,6793,331,2218,80
generate,6793,331,2206,92
agent,6794,330,2234,64
does,6794,330,2188,110
challenging,6795,329,2184,114
goal,6796,328,2198,100
statistical,6797,327,2164,134
useful,6800,324,2212,86
recurrent,6800,324,2134,164
empirical,6802,322,2087,211
dynamic,6802,322,2234,64
term,6802,322,2194,104
because,6805,319,2218,80
random,6806,318,2155,143
memory,6806,318,2169,129
corpus,6807,317,2223,75
programming,6807,317,2243,55
identify,6809,315,2237,61
solutions,6810,314,2244,54
cost,6812,312,2180,118
dimensional,6813,311,2144,154
value,6813,311,2197,101
ability,6815,309,2202,96
limited,6815,309,2226,72
variables,6817,307,2184,114
selection,6817,307,2218,80
means,6819,305,2256,42
considered,6819,305,2251,47
cases,6819,305,2211,87
languages,6820,304,2202,96
sequence,6821,303,2120,178
step,6822,302,2182,116
stochastic,6822,302,2075,223
end,6823,301,2173,125
investigate,6823,301,2204,94
part,6824,300,2239,59
temporal,6824,300,2238,60
question,6824,300,2194,104
target,6825,299,2174,124
us,6825,299,2185,113
apply,6825,299,2172,126
measure,6825,299,2225,73
therefore,6828,296,2237,61
efficiency,6829,295,2200,98
source,6830,294,2186,112
potential,6830,294,2234,64
across,6832,292,2162,136
benchmark,6832,292,2172,126
point,6832,292,2198,100
train,6832,292,2158,140
artificial,6833,291,2266,32
setting,6833,291,2102,196
social,6834,290,2240,58
rules,6835,289,2254,44
output,6835,289,2177,121
distributed,6835,289,2221,77
development,6836,288,2281,17
rate,6836,288,2182,116
images,6836,288,2197,101
furthermore,6836,288,2220,78
objective,6837,287,2158,140
field,6837,287,2257,41
open,6838,286,2234,64
via,6838,286,2170,128
literature,6839,285,2248,50
achieved,6839,285,2223,75
efficiently,6839,285,2175,123
what,6840,284,2225,73
constraints,6840,284,2202,96
concept,6840,284,2269,29
theoretical,6840,284,2086,212
popular,6841,283,2171,127
future,6841,283,2271,27
still,6843,281,2225,73
classifier,6843,281,2229,69
difficult,6843,281,2196,102
moreover,6844,280,2199,99
similarity,6844,280,2214,84
control,6844,280,2218,80
examples,6844,280,2197,101
studies,6844,280,2237,61
discuss,6845,279,2260,38
environment,6847,277,2253,45
robust,6847,277,2195,103
achieves,6847,277,2111,187
works,6847,277,2232,66
clustering,6848,276,2224,74
defined,6848,276,2235,63
generation,6848,276,2208,90
higher,6849,275,2225,73
resulting,6851,273,2186,112
computing,6853,271,2230,68
explore,6853,271,2215,83
type,6853,271,2226,72
understanding,6854,270,2211,87
represent,6854,270,2238,60
designed,6855,269,2231,67
agents,6855,269,2252,46
highly,6855,269,2193,105
values,6855,269,2242,56
range,6856,268,2193,105
analyze,6857,267,2190,108
less,6857,267,2230,68
web,6860,264,2275,23
requires,6861,263,2186,112
short,6861,263,2229,69
relevant,6862,262,2244,54
reinforcement,6862,262,2172,126
semantics,6863,261,2248,50
amount,6863,261,2236,62
could,6864,260,2253,45
specifically,6864,260,2212,86
obtain,6864,260,2195,103
introduced,6865,259,2250,48
directly,6865,259,2184,114
unsupervised,6865,259,2203,95
widely,6866,258,2224,74
computation,6866,258,2215,83
translation,6866,258,2155,143
makes,6866,258,2207,91
visual,6867,257,2225,73
processes,6868,256,2229,69
strategy,6868,256,2229,69
reduce,6869,255,2220,78
evaluated,6869,255,2254,44
challenge,6870,254,2202,96
content,6871,253,2250,48
intelligence,6871,253,2279,19
original,6873,251,2219,79
behavior,6873,251,2234,64
interest,6874,250,2200,98
planning,6874,250,2271,27
extraction,6874,250,2235,63
found,6875,249,2251,47
combination,6875,249,2239,59
classes,6876,248,2228,70
build,6878,246,2260,38
variety,6878,246,2208,90
should,6879,245,2258,40
made,6879,245,2231,67
markov,6879,245,2214,84
independent,6880,244,2195,103
practical,6881,243,2199,99
give,6882,242,2211,87
mining,6884,240,2281,17
provided,6884,240,2241,57
object,6884,240,2227,71
require,6885,239,2174,124
tree,6885,239,2225,73
conditions,6885,239,2217,81
english,6886,238,2200,98
belief,6886,238,2273,25
implementation,6887,237,2251,47
classifiers,6888,236,2252,46
underlying,6888,236,2195,103
accurate,6890,234,2216,82
prior,6890,234,2169,129
few,6890,234,2216,82
approximation,6890,234,2164,134
help,6890,234,2269,29
tools,6892,232,2259,39
capture,6892,232,2200,98
challenges,6892,232,2247,51
patterns,6893,231,2256,42
relations,6893,231,2236,62
actions,6893,231,2238,60
improvement,6894,230,2223,75
power,6895,229,2232,66
uncertainty,6895,229,2256,42
required,6895,229,2235,63
improved,6895,229,2216,82
prove,6895,229,2152,146
although,6896,228,2243,55
certain,6896,228,2204,94
objects,6896,228,2240,58
take,6896,228,2253,45
samples,6897,227,2194,104
performed,6897,227,2273,25
basic,6898,226,2263,35
define,6900,224,2247,51
layer,6900,224,2192,106
predict,6900,224,2210,88
hand,6900,224,2236,62
whether,6900,224,2245,53
automated,6900,224,2278,20
complete,6900,224,2259,39
gradient,6900,224,2088,210
tool,6901,223,2257,41
observed,6901,223,2216,82
loss,6901,223,2150,148
either,6901,223,2211,87
respect,6902,222,2245,53
role,6902,222,2254,44
allow,6902,222,2233,65
finding,6903,221,2231,67
wide,6904,220,2221,77
implemented,6905,219,2272,26
increasing,6906,218,2262,36
especially,6906,218,2250,48
answer,6906,218,2240,58
action,6906,218,2238,60
baseline,6907,217,2197,101
document,6907,217,2231,67
instances,6907,217,2239,59
years,6907,217,2243,55
mechanism,6907,217,2221,77
sentence,6908,216,2163,135
issue,6908,216,2260,38
building,6908,216,2248,50
comparison,6909,215,2254,44
individual,6909,215,2231,67
continuous,6909,215,2206,92
after,6910,214,2237,61
matrix,6910,214,2118,180
extensive,6910,214,2209,89
embedding,6911,213,2220,78
yet,6912,212,2230,68
article,6912,212,2285,13
structures,6912,212,2233,65
studied,6912,212,2242,56
policy,6913,211,2194,104
strategies,6914,210,2243,55
according,6914,210,2258,40
become,6915,209,2251,47
architectures,6915,209,2217,81
fully,6915,209,2205,93
concepts,6915,209,2278,20
four,6915,209,2241,57
parameter,6916,208,2183,115
typically,6916,208,2205,93
instead,6916,208,2217,81
extend,6916,208,2221,77
competitive,6917,207,2181,117
hard,6917,207,2218,80
generalization,6918,206,2192,106
convergence,6918,206,2153,145
extension,6918,206,2248,50
against,6918,206,2244,54
base,6918,206,2245,53
version,6921,203,2244,54
rather,6921,203,2229,69
game,6921,203,2254,44
describes,6922,202,2285,13
view,6923,201,2250,48
parallel,6923,201,2241,57
improvements,6923,201,2183,115
constraint,6924,200,2244,54
resources,6924,200,2261,37
improves,6924,200,2183,115
rule,6924,200,2260,38
fast,6925,199,2205,93
strong,6925,199,2180,118
labels,6925,199,2207,91
conditional,6925,199,2214,84
points,6926,198,2198,100
binary,6926,198,2228,70
classical,6926,198,2242,56
corresponding,6926,198,2225,73
sample,6927,197,2156,142
would,6927,197,2259,39
nature,6927,197,2244,54
advantage,6929,195,2244,54
produce,6929,195,2234,64
previously,6929,195,2227,71
series,6929,195,2256,42
measures,6930,194,2253,45
database,6930,194,2276,22
usually,6931,193,2241,57
global,6931,193,2203,95
suitable,6931,193,2249,49
procedure,6931,193,2209,89
latent,6931,193,2154,144
query,6932,192,2254,44
linguistic,6932,192,2231,67
weights,6932,192,2235,63
topic,6932,192,2243,55
learns,6933,191,2180,118
providing,6933,191,2254,44
additional,6933,191,2219,79
approximate,6934,190,2185,113
bound,6934,190,2146,152
promising,6934,190,2236,62
applying,6934,190,2247,51
associated,6935,189,2214,84
basis,6936,188,2263,35
proposes,6936,188,2255,43
enables,6936,188,2238,60
noise,6936,188,2202,96
leads,6936,188,2219,79
people,6937,187,2276,22
sentences,6937,187,2204,94
success,6937,187,2232,66
major,6937,187,2250,48
lower,6937,187,2168,130
label,6938,186,2218,80
speed,6938,186,2222,76
issues,6939,185,2264,34
outperform,6939,185,2228,70
namely,6939,185,2270,28
scenarios,6939,185,2264,34
documents,6940,184,2251,47
components,6940,184,2235,63
vision,6940,184,2250,48
vectors,6940,184,2202,96
scheme,6940,184,2230,68
average,6940,184,2232,66
regression,6940,184,2188,110
evidence,6941,183,2253,45
distance,6941,183,2256,42
towards,6941,183,2257,41
increase,6942,182,2257,41
extended,6942,182,2269,29
include,6942,182,2248,50
etc,6942,182,2277,21
hidden,6942,182,2206,92
maximum,6942,182,2222,76
report,6943,181,2263,35
layers,6943,181,2203,95
alternative,6943,181,2246,52
software,6943,181,2293,5
notion,6944,180,2252,46
pre,6944,180,2247,51
overall,6944,180,2259,39
reduction,6944,180,2226,72
instance,6944,180,2246,52
questions,6945,179,2246,52
extract,6945,179,2258,40
purpose,6945,179,2269,29
distributions,6945,179,2176,122
score,6946,178,2239,59
account,6946,178,2270,28
environments,6946,178,2268,30
aspects,6946,178,2258,40
represented,6946,178,2260,38
another,6946,178,2250,48
formal,6946,178,2279,19
suggest,6947,177,2249,49
aims,6947,177,2268,30
inspired,6947,177,2238,60
area,6947,177,2281,17
estimation,6947,177,2176,122
aim,6947,177,2264,34
bounds,6948,176,2133,165
generating,6948,176,2236,62
pattern,6948,176,2282,16
structured,6948,176,2173,125
interaction,6948,176,2277,21
combined,6948,176,2257,41
together,6948,176,2245,53
experiment,6948,176,2265,33
sequences,6949,175,2218,80
idea,6949,175,2242,56
nodes,6949,175,2260,38
identifying,6950,174,2259,39
states,6950,174,2239,59
choice,6950,174,2252,46
free,6950,174,2238,60
hierarchical,6950,174,2228,70
embeddings,6951,173,2185,113
times,6951,173,2243,55
far,6951,173,2250,48
must,6951,173,2244,54
lead,6952,172,2241,57
representing,6952,172,2272,26
importance,6952,172,2246,52
machines,6952,172,2259,39
empirically,6953,171,2186,112
effectively,6953,171,2240,58
graphs,6953,171,2243,55
despite,6953,171,2219,79
ones,6954,170,2249,49
sparse,6954,170,2162,136
every,6954,170,2254,44
easily,6954,170,2249,49
combining,6955,169,2252,46
off,6955,169,2247,51
simulation,6955,169,2273,25
events,6955,169,2268,30
consists,6955,169,2259,39
variable,6956,168,2213,85
comparable,6956,168,2230,68
faster,6956,168,2192,106
retrieval,6956,168,2261,37
change,6956,168,2262,36
built,6956,168,2266,32
sequential,6957,167,2217,81
semi,6957,167,2229,69
understand,6958,166,2273,25
signal,6958,166,2257,41
construct,6958,166,2249,49
cannot,6958,166,2240,58
description,6958,166,2276,22
positive,6958,166,2246,52
illustrate,6959,165,2252,46
sense,6959,165,2260,38
performing,6959,165,2246,52
sampling,6960,164,2162,136
impact,6960,164,2267,31
component,6960,164,2226,72
tested,6960,164,2277,21
labeled,6960,164,2229,69
relation,6960,164,2236,62
expected,6960,164,2232,66
settings,6961,163,2193,105
probabilities,6961,163,2258,40
joint,6961,163,2209,89
improving,6962,162,2238,60
interesting,6962,162,2260,38
characteristics,6962,162,2284,14
community,6962,162,2273,25
initial,6962,162,2270,28
fact,6962,162,2252,46
powerful,6963,161,2220,78
takes,6963,161,2264,34
compute,6963,161,2239,59
researchers,6964,160,2270,28
performs,6964,160,2225,73
conventional,6965,159,2249,49
noisy,6965,159,2226,72
whose,6965,159,2225,73
particularly,6965,159,2250,48
extracted,6965,159,2272,26
done,6966,158,2270,28
cnn,6966,158,2260,38
simultaneously,6966,158,2232,66
fixed,6966,158,2216,82
detect,6966,158,2279,19
levels,6966,158,2263,35
sources,6966,158,2274,24
relationships,6967,157,2261,37
showing,6967,157,2211,87
full,6967,157,2233,65
10,6967,157,2238,60
methodology,6968,156,2272,26
practice,6968,156,2196,102
derived,6968,156,2252,46
adaptive,6969,155,2227,71
derive,6969,155,2184,114
top,6969,155,2243,55
special,6969,155,2241,57
areas,6970,154,2280,18
driven,6970,154,2248,50
successfully,6970,154,2244,54
along,6970,154,2258,40
advantages,6971,153,2249,49
next,6971,153,2259,39
critical,6971,153,2267,31
weighted,6972,152,2255,43
lstm,6972,152,2215,83
effect,6972,152,2251,47
pairs,6972,152,2216,82
identification,6972,152,2277,21
per,6972,152,2252,46
entities,6972,152,2259,39
spaces,6972,152,2250,48
rely,6973,151,2226,72
communication,6973,151,2261,37
sentiment,6973,151,2237,61
cross,6973,151,2234,64
collected,6973,151,2271,27
estimate,6973,151,2220,78
dependent,6973,151,2237,61
respectively,6973,151,2253,45
exact,6974,150,2232,66
games,6974,150,2255,43
exploit,6974,150,2236,62
queries,6975,149,2261,37
fundamental,6975,149,2235,63
texts,6975,149,2268,30
program,6975,149,2260,38
appropriate,6975,149,2252,46
heuristic,6975,149,2276,22
ways,6975,149,2268,30
policies,6976,148,2255,43
humans,6976,148,2269,29
collection,6976,148,2254,44
necessary,6976,148,2259,39
lack,6976,148,2267,31
described,6977,147,2279,19
programs,6977,147,2266,32
corpora,6977,147,2240,58
conducted,6977,147,2283,15
subset,6977,147,2249,49
map,6978,146,2249,49
larger,6978,146,2236,62
manner,6979,145,2259,39
event,6979,145,2269,29
testing,6979,145,2267,31
precision,6979,145,2268,30
self,6979,145,2274,24
syntactic,6980,144,2239,59
negative,6980,144,2245,53
shared,6980,144,2246,52
focused,6980,144,2267,31
selected,6980,144,2263,35
answering,6980,144,2241,57
rich,6981,143,2218,80
contrast,6981,143,2205,93
predicting,6981,143,2238,60
synthetic,6981,143,2176,122
categories,6982,142,2279,19
allowing,6982,142,2254,44
ai,6982,142,2283,15
degree,6982,142,2261,37
relative,6983,141,2246,52
computationally,6983,141,2203,95
considering,6983,141,2268,30
fields,6983,141,2270,28
demonstrated,6984,140,2255,43
decisions,6984,140,2274,24
finite,6984,140,2223,75
named,6984,140,2263,35
generally,6984,140,2264,34
entity,6984,140,2250,48
annotated,6985,139,2255,43
influence,6985,139,2276,22
abstract,6985,139,2274,24
commonly,6985,139,2250,48
fuzzy,6985,139,2297,1
construction,6985,139,2265,33
mapping,6985,139,2262,36
rnn,6985,139,2246,52
al,6985,139,2214,84
rank,6985,139,2178,120
before,6986,138,2276,22
deal,6986,138,2266,32
steps,6986,138,2250,48
create,6986,138,2271,27
capable,6986,138,2258,40
hence,6986,138,2256,42
benefits,6986,138,2242,56
true,6986,138,2251,47
changes,6986,138,2273,25
observations,6987,137,2224,74
handle,6987,137,2251,47
dependencies,6987,137,2231,67
property,6987,137,2249,49
unlike,6987,137,2235,63
least,6987,137,2238,60
enable,6987,137,2258,40
intelligent,6988,136,2287,11
hybrid,6988,136,2270,28
diverse,6988,136,2259,39
ontology,6988,136,2292,6
factors,6988,136,2247,51
call,6989,135,2248,50
media,6989,135,2276,22
mean,6989,135,2233,65
combine,6989,135,2258,40
resource,6989,135,2262,36
determine,6989,135,2275,23
operations,6990,134,2266,32
nlp,6990,134,2239,59
metric,6990,134,2256,42
great,6990,134,2260,38
developing,6990,134,2266,32
needs,6990,134,2265,33
relationship,6990,134,2267,31
indicate,6990,134,2273,25
classify,6991,133,2289,9
robot,6991,133,2288,10
meaning,6991,133,2259,39
combines,6992,132,2259,39
expert,6992,132,2280,18
following,6992,132,2258,40
numerical,6992,132,2255,43
polynomial,6992,132,2237,61
increasingly,6993,131,2273,25
crucial,6993,131,2258,40
unknown,6993,131,2214,84
management,6994,130,2294,4
easy,6994,130,2257,41
logical,6994,130,2278,20
propagation,6994,130,2259,39
discrete,6994,130,2217,81
group,6994,130,2255,43
past,6994,130,2243,55
cluster,6994,130,2268,30
product,6994,130,2250,48
public,6995,129,2273,25
experts,6995,129,2284,14
generative,6995,129,2183,115
metrics,6995,129,2255,43
elements,6995,129,2266,32
arbitrary,6995,129,2240,58
successful,6995,129,2255,43
ranking,6995,129,2252,46
overcome,6996,128,2268,30
descent,6996,128,2184,114
et,6996,128,2216,82
graphical,6996,128,2251,47
predictions,6996,128,2238,60
though,6996,128,2255,43
matching,6996,128,2223,75
gives,6996,128,2265,33
code,6996,128,2250,48
gaussian,6996,128,2200,98
textual,6996,128,2262,36
equivalent,6997,127,2262,36
video,6997,127,2269,29
weight,6997,127,2257,41
inputs,6997,127,2253,45
currently,6997,127,2268,30
convex,6998,126,2115,183
select,6998,126,2260,38
segmentation,6998,126,2255,43
attributes,6998,126,2274,24
jointly,6998,126,2220,78
preliminary,6999,125,2285,13
contribution,6999,125,2260,38
perspective,6999,125,2268,30
discussed,6999,125,2288,10
introduces,6999,125,2257,41
consistent,7000,124,2237,61
exploration,7000,124,2242,56
ii,7000,124,2257,41
advances,7000,124,2265,33
science,7000,124,2284,14
engineering,7000,124,2275,23
might,7000,124,2272,26
interactions,7000,124,2262,36
correct,7000,124,2258,40
big,7001,123,2282,16
structural,7001,123,2268,30
lexical,7001,123,2249,49
svm,7001,123,2270,28
units,7001,123,2240,58
comprehensive,7001,123,2285,13
employed,7001,123,2286,12
signals,7001,123,2270,28
forward,7001,123,2268,30
others,7001,123,2275,23
reducing,7001,123,2255,43
partially,7001,123,2262,36
reduces,7001,123,2252,46
analyzing,7001,123,2274,24
generalized,7001,123,2252,46
contains,7002,122,2271,27
adaptation,7002,122,2255,43
exploiting,7003,121,2255,43
limitations,7003,121,2272,26
essential,7003,121,2276,22
spatial,7003,121,2275,23
trees,7003,121,2248,50
variant,7003,121,2248,50
scenario,7003,121,2271,27
core,7003,121,2268,30
produced,7003,121,2275,23
variants,7003,121,2234,64
last,7003,121,2283,15
kernel,7004,120,2209,89
presence,7004,120,2275,23
insights,7004,120,2265,33
effects,7004,120,2271,27
own,7004,120,2267,31
access,7004,120,2253,45
implement,7004,120,2254,44
minimum,7005,119,2269,29
little,7005,119,2252,46
having,7005,119,2266,32
fine,7005,119,2263,35
robustness,7005,119,2268,30
restricted,7005,119,2257,41
discovery,7005,119,2283,15
comparing,7005,119,2267,31
additionally,7006,118,2261,37
involves,7006,118,2263,35
sub,7006,118,2251,47
needed,7006,118,2254,44
play,7006,118,2271,27
response,7006,118,2266,32
exist,7006,118,2260,38
errors,7007,117,2255,43
motivated,7007,117,2243,55
reduced,7007,117,2263,35
factor,7007,117,2241,57
situations,7007,117,2281,17
formulation,7007,117,2250,48
update,7007,117,2262,36
frequency,7007,117,2281,17
length,7007,117,2253,45
direct,7007,117,2264,34
effort,7007,117,2279,19
mobile,7007,117,2289,9
beyond,7007,117,2269,29
taking,7008,116,2275,23
final,7008,116,2264,34
utility,7008,116,2266,32
path,7008,116,2267,31
benchmarks,7008,116,2255,43
validate,7008,116,2259,39
requirements,7008,116,2279,19
argue,7008,116,2261,37
manually,7009,115,2268,30
constructed,7009,115,2271,27
minimal,7009,115,2268,30
topics,7009,115,2256,42
run,7009,115,2272,26
achieving,7010,114,2236,62
yields,7010,114,2244,54
benefit,7010,114,2263,35
close,7010,114,2250,48
explicitly,7010,114,2241,57
guarantees,7010,114,2183,115
sensitive,7010,114,2259,39
review,7010,114,2289,9
upon,7010,114,2253,45
superior,7010,114,2241,57
predictive,7011,113,2247,51
life,7011,113,2283,15
generic,7011,113,2255,43
explicit,7011,113,2247,51
relies,7011,113,2256,42
progress,7011,113,2260,38
always,7011,113,2273,25
definition,7012,112,2282,16
evaluating,7012,112,2272,26
energy,7012,112,2265,33
modern,7012,112,2251,47
written,7012,112,2283,15
mechanisms,7012,112,2277,21
ensemble,7012,112,2272,26
parts,7012,112,2261,37
risk,7012,112,2247,51
extensions,7013,111,2275,23
tackle,7013,111,2270,28
established,7013,111,2268,30
extracting,7013,111,2284,14
partial,7013,111,2252,46
modelling,7013,111,2271,27
sufficient,7013,111,2254,44
cognitive,7013,111,2289,9
outputs,7013,111,2245,53
assumption,7013,111,2235,63
solved,7014,110,2264,34
detailed,7014,110,2276,22
mainly,7014,110,2284,14
dynamics,7014,110,2249,49
re,7014,110,2266,32
scores,7014,110,2253,45
preferences,7014,110,2275,23
resolution,7014,110,2273,25
reported,7015,109,2280,18
likelihood,7015,109,2212,86
assumptions,7015,109,2213,85
selecting,7015,109,2264,34
adversarial,7015,109,2239,59
who,7015,109,2268,30
ideas,7015,109,2266,32
includes,7015,109,2256,42
theoretic,7015,109,2262,36
platform,7015,109,2287,11
