feature,count0@False,count1@False,count0@True,count1@True,ratio10False,ratio1TF
exponentiating,7124,0,2297,1,0.0,inf
fbs,7124,0,2297,1,0.0,inf
nplms,7124,0,2297,1,0.0,inf
wdd,7124,0,2297,1,0.0,inf
overstate,7124,0,2297,1,0.0,inf
craftmaps,7124,0,2297,1,0.0,inf
gam,7124,0,2297,1,0.0,inf
useof,7124,0,2297,1,0.0,inf
npn,7124,0,2297,1,0.0,inf
863,7124,0,2297,1,0.0,inf
urnns,7124,0,2297,1,0.0,inf
30x,7124,0,2297,1,0.0,inf
gorin,7124,0,2297,1,0.0,inf
npis,7124,0,2297,1,0.0,inf
crashing,7124,0,2297,1,0.0,inf
320x420,7124,0,2297,1,0.0,inf
pcr,7124,0,2297,1,0.0,inf
usingabstract,7124,0,2297,1,0.0,inf
2sat,7124,0,2297,1,0.0,inf
weathergov,7124,0,2297,1,0.0,inf
gpc,7124,0,2297,1,0.0,inf
2s,7124,0,2296,2,0.0,inf
urnn,7124,0,2297,1,0.0,inf
overwritten,7124,0,2297,1,0.0,inf
95k,7124,0,2297,1,0.0,inf
2a,7124,0,2297,1,0.0,inf
pege2,7124,0,2297,1,0.0,inf
grant,7124,0,2296,2,0.0,inf
fw,7124,0,2296,2,0.0,inf
untangles,7124,0,2297,1,0.0,inf
nmdr,7124,0,2297,1,0.0,inf
gohari,7124,0,2297,1,0.0,inf
overnight,7124,0,2295,3,0.0,inf
negotiated,7124,0,2297,1,0.0,inf
hamiltonians,7124,0,2297,1,0.0,inf
orienting,7124,0,2297,1,0.0,inf
orientated,7124,0,2297,1,0.0,inf
exchangeability,7124,0,2295,3,0.0,inf
exchangeable,7124,0,2295,3,0.0,inf
orphadata,7124,0,2297,1,0.0,inf
nonce,7124,0,2297,1,0.0,inf
fickle,7124,0,2297,1,0.0,inf
pharmgkb,7124,0,2297,1,0.0,inf
nonactively,7124,0,2297,1,0.0,inf
uncountably,7124,0,2297,1,0.0,inf
uncorrupted,7124,0,2297,1,0.0,inf
acdc,7124,0,2297,1,0.0,inf
3b,7124,0,2297,1,0.0,inf
ace2004,7124,0,2297,1,0.0,inf
waxed,7124,0,2297,1,0.0,inf
ace2005,7124,0,2297,1,0.0,inf
freestyle,7124,0,2297,1,0.0,inf
photometric,7124,0,2297,1,0.0,inf
walker2d,7124,0,2297,1,0.0,inf
neghboring,7124,0,2297,1,0.0,inf
freebase5m,7124,0,2297,1,0.0,inf
freebase2m,7124,0,2297,1,0.0,inf
700k,7124,0,2297,1,0.0,inf
frechet,7124,0,2297,1,0.0,inf
negentropy,7124,0,2297,1,0.0,inf
fidelities,7124,0,2297,1,0.0,inf
halfcheetah,7124,0,2297,1,0.0,inf
commnn,7124,0,2297,1,0.0,inf
passability,7124,0,2297,1,0.0,inf
nebel,7124,0,2297,1,0.0,inf
nebulous,7124,0,2297,1,0.0,inf
unaries,7124,0,2297,1,0.0,inf
wooldridge,7124,0,2297,1,0.0,inf
graining,7124,0,2297,1,0.0,inf
gralap,7124,0,2297,1,0.0,inf
gogod,7124,0,2297,1,0.0,inf
unvisited,7124,0,2297,1,0.0,inf
comprehending,7124,0,2297,1,0.0,inf
gnugo,7124,0,2297,1,0.0,inf
npi,7124,0,2297,1,0.0,inf
fwer,7124,0,2297,1,0.0,inf
pegasos,7124,0,2297,1,0.0,inf
fb20,7124,0,2297,1,0.0,inf
1927,7124,0,2297,1,0.0,inf
copynet,7124,0,2297,1,0.0,inf
connotation,7124,0,2297,1,0.0,inf
hall,7124,0,2296,2,0.0,inf
wold,7124,0,2296,2,0.0,inf
ornstein,7124,0,2297,1,0.0,inf
wale,7124,0,2297,1,0.0,inf
cs1,7124,0,2297,1,0.0,inf
acids,7124,0,2297,1,0.0,inf
orlin,7124,0,2297,1,0.0,inf
extrema,7124,0,2297,1,0.0,inf
wonder,7124,0,2297,1,0.0,inf
unattractive,7124,0,2297,1,0.0,inf
extremality,7124,0,2297,1,0.0,inf
cosamp,7124,0,2297,1,0.0,inf
franchise,7124,0,2297,1,0.0,inf
farther,7124,0,2297,1,0.0,inf
figar,7124,0,2297,1,0.0,inf
wooden,7124,0,2297,1,0.0,inf
fibers,7124,0,2297,1,0.0,inf
extraordinarily,7124,0,2297,1,0.0,inf
736,7124,0,2297,1,0.0,inf
ksd,7124,0,2297,1,0.0,inf
doc2vecc,7124,0,2297,1,0.0,inf
mcallester,7124,0,2297,1,0.0,inf
canada,7124,0,2297,1,0.0,inf
sga,7124,0,2297,1,0.0,inf
dmfas,7124,0,2297,1,0.0,inf
kuhlmann,7124,0,2297,1,0.0,inf
dmn,7124,0,2297,1,0.0,inf
kube,7124,0,2297,1,0.0,inf
marry,7124,0,2297,1,0.0,inf
mart,7124,0,2297,1,0.0,inf
reinflection,7124,0,2297,1,0.0,inf
dncp,7124,0,2297,1,0.0,inf
ksds,7124,0,2297,1,0.0,inf
dnlog,7124,0,2297,1,0.0,inf
martens,7124,0,2297,1,0.0,inf
candecomp,7124,0,2296,2,0.0,inf
krylov,7124,0,2297,1,0.0,inf
martingales,7124,0,2296,2,0.0,inf
krondpp,7124,0,2297,1,0.0,inf
krizhevsky,7124,0,2297,1,0.0,inf
doa,7124,0,2297,1,0.0,inf
dobrushin,7124,0,2297,1,0.0,inf
langpro,7124,0,2297,1,0.0,inf
mcb,7124,0,2297,1,0.0,inf
sinkhorn,7124,0,2296,2,0.0,inf
melding,7124,0,2297,1,0.0,inf
rddcrp,7124,0,2297,1,0.0,inf
solicitation,7124,0,2297,1,0.0,inf
availabilty,7124,0,2297,1,0.0,inf
catena,7124,0,2297,1,0.0,inf
candes,7124,0,2297,1,0.0,inf
regularizations,7124,0,2293,5,0.0,inf
landmarking,7124,0,2296,2,0.0,inf
dlt,7124,0,2297,1,0.0,inf
lanczos,7124,0,2296,2,0.0,inf
lancaster,7124,0,2297,1,0.0,inf
lambda_1,7124,0,2297,1,0.0,inf
marcu,7124,0,2297,1,0.0,inf
destructive,7124,0,2297,1,0.0,inf
destroying,7124,0,2297,1,0.0,inf
benefitted,7124,0,2297,1,0.0,inf
lagragian,7124,0,2297,1,0.0,inf
marginalize,7124,0,2296,2,0.0,inf
sep,7124,0,2297,1,0.0,inf
relearned,7124,0,2297,1,0.0,inf
lad,7124,0,2297,1,0.0,inf
destabilizing,7124,0,2297,1,0.0,inf
kurdyka,7124,0,2297,1,0.0,inf
marmann,7124,0,2297,1,0.0,inf
shamir,7124,0,2296,2,0.0,inf
dmfa,7124,0,2297,1,0.0,inf
sggp,7124,0,2297,1,0.0,inf
mason,7124,0,2297,1,0.0,inf
sgl,7124,0,2297,1,0.0,inf
sgld,7124,0,2296,2,0.0,inf
rehession,7124,0,2297,1,0.0,inf
sgnmt,7124,0,2297,1,0.0,inf
krasulina,7124,0,2297,1,0.0,inf
reharmonize,7124,0,2297,1,0.0,inf
sgvi,7124,0,2297,1,0.0,inf
kpca,7124,0,2297,1,0.0,inf
kp,7124,0,2297,1,0.0,inf
cancels,7124,0,2297,1,0.0,inf
bebfs,7124,0,2297,1,0.0,inf
melodic,7124,0,2297,1,0.0,inf
dtm,7124,0,2297,1,0.0,inf
rds,7124,0,2297,1,0.0,inf
aural,7124,0,2297,1,0.0,inf
demodulator,7124,0,2297,1,0.0,inf
mensxmachina,7124,0,2297,1,0.0,inf
duplicates,7124,0,2297,1,0.0,inf
iterately,7124,0,2297,1,0.0,inf
rasooli,7124,0,2297,1,0.0,inf
cbmpi,7124,0,2297,1,0.0,inf
sparsistency,7124,0,2297,1,0.0,inf
rarl,7124,0,2297,1,0.0,inf
demixing,7124,0,2297,1,0.0,inf
merchant,7124,0,2297,1,0.0,inf
istributed,7124,0,2297,1,0.0,inf
specifiers,7124,0,2297,1,0.0,inf
rankgan,7124,0,2297,1,0.0,inf
mergerank,7124,0,2297,1,0.0,inf
rappor,7124,0,2297,1,0.0,inf
somatosensory,7124,0,2297,1,0.0,inf
itransf,7124,0,2297,1,0.0,inf
sparsemax,7124,0,2297,1,0.0,inf
cb513,7124,0,2297,1,0.0,inf
soslasso,7124,0,2297,1,0.0,inf
jamo,7124,0,2297,1,0.0,inf
jalali,7124,0,2297,1,0.0,inf
memnns,7124,0,2297,1,0.0,inf
memorisation,7124,0,2297,1,0.0,inf
razor,7124,0,2294,4,0.0,inf
spades,7124,0,2297,1,0.0,inf
dude,7124,0,2297,1,0.0,inf
cautions,7124,0,2297,1,0.0,inf
jaco,7124,0,2296,2,0.0,inf
autoimmune,7124,0,2297,1,0.0,inf
itml,7124,0,2297,1,0.0,inf
sos,7124,0,2296,2,0.0,inf
memisevic,7124,0,2297,1,0.0,inf
snnm,7124,0,2297,1,0.0,inf
dtol,7124,0,2297,1,0.0,inf
dtrees,7124,0,2297,1,0.0,inf
memdec,7124,0,2297,1,0.0,inf
rcm,7124,0,2297,1,0.0,inf
rceil,7124,0,2296,2,0.0,inf
sorely,7124,0,2297,1,0.0,inf
sorf,7124,0,2297,1,0.0,inf
son,7124,0,2297,1,0.0,inf
softly,7124,0,2295,3,0.0,inf
megiddo,7124,0,2297,1,0.0,inf
medlda,7124,0,2297,1,0.0,inf
denn,7124,0,2297,1,0.0,inf
dsat,7124,0,2297,1,0.0,inf
johansson,7124,0,2297,1,0.0,inf
sntv,7124,0,2297,1,0.0,inf
dscnn,7124,0,2297,1,0.0,inf
dsebms,7124,0,2297,1,0.0,inf
johann,7124,0,2297,1,0.0,inf
sobolev,7124,0,2297,1,0.0,inf
joe2,7124,0,2297,1,0.0,inf
socher,7124,0,2297,1,0.0,inf
joachims,7124,0,2297,1,0.0,inf
catastrophically,7124,0,2297,1,0.0,inf
dsms,7124,0,2297,1,0.0,inf
jiweil,7124,0,2297,1,0.0,inf
mediocre,7124,0,2297,1,0.0,inf
dsps,7124,0,2297,1,0.0,inf
jia,7124,0,2297,1,0.0,inf
memetracker,7124,0,2297,1,0.0,inf
bento,7124,0,2297,1,0.0,inf
calable,7124,0,2297,1,0.0,inf
undergoes,7124,0,2297,1,0.0,inf
shervashidze,7124,0,2297,1,0.0,inf
refitted,7124,0,2297,1,0.0,inf
shortlist,7124,0,2297,1,0.0,inf
shortsighted,7124,0,2297,1,0.0,inf
refrain,7124,0,2297,1,0.0,inf
shotgun,7124,0,2297,1,0.0,inf
kld,7124,0,2297,1,0.0,inf
shridharan,7124,0,2297,1,0.0,inf
shrivastava,7124,0,2297,1,0.0,inf
shrivastava_uai14,7124,0,2297,1,0.0,inf
shrot,7124,0,2297,1,0.0,inf
donoho,7124,0,2297,1,0.0,inf
batchnorm,7124,0,2297,1,0.0,inf
battrae,7124,0,2297,1,0.0,inf
bbp,7124,0,2297,1,0.0,inf
regained,7124,0,2297,1,0.0,inf
kmm,7124,0,2297,1,0.0,inf
sharpness,7124,0,2297,1,0.0,inf
bdnn,7124,0,2297,1,0.0,inf
shattered,7124,0,2297,1,0.0,inf
dogfish,7124,0,2297,1,0.0,inf
dogmatic,7124,0,2297,1,0.0,inf
koco,7124,0,2297,1,0.0,inf
dogmatism,7124,0,2297,1,0.0,inf
canonicalizing,7124,0,2297,1,0.0,inf
canonicity,7124,0,2297,1,0.0,inf
materialise,7124,0,2297,1,0.0,inf
bcm,7124,0,2297,1,0.0,inf
registering,7124,0,2297,1,0.0,inf
regenerate,7124,0,2297,1,0.0,inf
regbayes,7124,0,2297,1,0.0,inf
bayesum,7124,0,2297,1,0.0,inf
shock,7124,0,2297,1,0.0,inf
septic,7124,0,2297,1,0.0,inf
gust,7124,0,2297,1,0.0,inf
wishing,7124,0,2297,1,0.0,inf
crowdsourcer,7124,0,2297,1,0.0,inf
gaussianface,7124,0,2297,1,0.0,inf
undiscounted,7124,0,2296,2,0.0,inf
undirectedmarkov,7124,0,2297,1,0.0,inf
gaussianization,7124,0,2297,1,0.0,inf
gaussianizes,7124,0,2297,1,0.0,inf
noising,7124,0,2294,4,0.0,inf
friedman,7124,0,2296,2,0.0,inf
gaussianizing,7124,0,2297,1,0.0,inf
743,7124,0,2297,1,0.0,inf
386,7124,0,2297,1,0.0,inf
exemplifies,7124,0,2296,2,0.0,inf
gupta,7124,0,2297,1,0.0,inf
understate,7124,0,2297,1,0.0,inf
refned,7124,0,2297,1,0.0,inf
net2net,7124,0,2297,1,0.0,inf
guttman,7124,0,2297,1,0.0,inf
nesterov2007gradient,7124,0,2297,1,0.0,inf
executors,7124,0,2297,1,0.0,inf
nestedmarkov,7124,0,2297,1,0.0,inf
gwbowv,7124,0,2297,1,0.0,inf
nerve,7124,0,2297,1,0.0,inf
frey,7124,0,2297,1,0.0,inf
freund,7124,0,2297,1,0.0,inf
glc,7124,0,2297,1,0.0,inf
petrik,7124,0,2297,1,0.0,inf
671,7124,0,2297,1,0.0,inf
losers,7124,0,2295,3,0.0,inf
multisbm,7124,0,2297,1,0.0,inf
bcfw,7124,0,2296,2,0.0,inf
bcdes,7124,0,2297,1,0.0,inf
bcde,7124,0,2297,1,0.0,inf
serendipitous,7124,0,2297,1,0.0,inf
sigma_2,7124,0,2297,1,0.0,inf
sigma_k,7124,0,2297,1,0.0,inf
sigmoids,7124,0,2297,1,0.0,inf
doubler,7124,0,2297,1,0.0,inf
doublesbm,7124,0,2297,1,0.0,inf
barzilay,7124,0,2297,1,0.0,inf
kickback,7124,0,2297,1,0.0,inf
kiperwasser,7124,0,2297,1,0.0,inf
shareboost,7124,0,2297,1,0.0,inf
dodge,7124,0,2297,1,0.0,inf
kons,7124,0,2297,1,0.0,inf
despot,7124,0,2297,1,0.0,inf
divulge,7124,0,2297,1,0.0,inf
seraph,7124,0,2297,1,0.0,inf
relatives,7124,0,2297,1,0.0,inf
kiss,7124,0,2297,1,0.0,inf
relatedly,7124,0,2297,1,0.0,inf
bellemare,7124,0,2297,1,0.0,inf
destabilization,7124,0,2297,1,0.0,inf
markedly,7124,0,2294,4,0.0,inf
markedness,7124,0,2297,1,0.0,inf
servedio,7124,0,2297,1,0.0,inf
l2nns,7124,0,2297,1,0.0,inf
dlog,7124,0,2297,1,0.0,inf
sest,7124,0,2297,1,0.0,inf
reinterpret,7124,0,2296,2,0.0,inf
kutta,7124,0,2297,1,0.0,inf
believes,7124,0,2297,1,0.0,inf
lacoste,7124,0,2297,1,0.0,inf
lacour,7124,0,2297,1,0.0,inf
sigma_,7124,0,2297,1,0.0,inf
killed,7124,0,2297,1,0.0,inf
maximizers,7124,0,2297,1,0.0,inf
bash,7124,0,2297,1,0.0,inf
sharpe,7124,0,2297,1,0.0,inf
reentrancy,7124,0,2297,1,0.0,inf
captioned,7124,0,2297,1,0.0,inf
cardiaiality,7124,0,2297,1,0.0,inf
reddy,7124,0,2297,1,0.0,inf
keypoint,7124,0,2296,2,0.0,inf
recycling,7124,0,2297,1,0.0,inf
keyframes,7124,0,2297,1,0.0,inf
depnn,7124,0,2297,1,0.0,inf
mbox,7124,0,2295,3,0.0,inf
signomial,7124,0,2297,1,0.0,inf
ketoacidosis,7124,0,2297,1,0.0,inf
mbrl,7124,0,2297,1,0.0,inf
kernelizable,7124,0,2297,1,0.0,inf
sims,7124,0,2297,1,0.0,inf
sind,7124,0,2297,1,0.0,inf
rectification,7124,0,2297,1,0.0,inf
kennington,7124,0,2297,1,0.0,inf
singlish,7124,0,2297,1,0.0,inf
keskar,7124,0,2297,1,0.0,inf
kfc,7124,0,2297,1,0.0,inf
maxsimc,7124,0,2297,1,0.0,inf
bartok,7124,0,2297,1,0.0,inf
kinetic,7124,0,2297,1,0.0,inf
sider,7124,0,2297,1,0.0,inf
sidestepped,7124,0,2297,1,0.0,inf
sidestepping,7124,0,2297,1,0.0,inf
deques,7124,0,2297,1,0.0,inf
maximising,7124,0,2295,3,0.0,inf
exponents,7124,0,2297,1,0.0,inf
310,7124,0,2297,1,0.0,inf
autoextend,7124,0,2297,1,0.0,inf
adantage,7124,0,2297,1,0.0,inf
400k,7124,0,2297,1,0.0,inf
cocoa,7124,0,2296,2,0.0,inf
has_cushion,7124,0,2297,1,0.0,inf
parseval,7124,0,2297,1,0.0,inf
620,7124,0,2297,1,0.0,inf
has_tail,7124,0,2297,1,0.0,inf
combcascade,7124,0,2297,1,0.0,inf
optmized,7124,0,2297,1,0.0,inf
politeness,7124,0,2297,1,0.0,inf
constrainedness,7124,0,2297,1,0.0,inf
typologies,7124,0,2297,1,0.0,inf
optionally,7124,0,2295,3,0.0,inf
erd14,7124,0,2297,1,0.0,inf
erdo,7124,0,2297,1,0.0,inf
adaoam,7124,0,2297,1,0.0,inf
coursera,7124,0,2297,1,0.0,inf
gcgm,7124,0,2297,1,0.0,inf
nasmc,7124,0,2297,1,0.0,inf
typographically,7124,0,2297,1,0.0,inf
evidencing,7124,0,2297,1,0.0,inf
nondifferentiable,7124,0,2297,1,0.0,inf
typi,7124,0,2297,1,0.0,inf
gcn,7124,0,2297,1,0.0,inf
optimums,7124,0,2297,1,0.0,inf
optimiza,7124,0,2297,1,0.0,inf
gcns,7124,0,2296,2,0.0,inf
adapter,7124,0,2297,1,0.0,inf
vinyals,7124,0,2297,1,0.0,inf
12k,7124,0,2297,1,0.0,inf
planted,7124,0,2295,3,0.0,inf
firmer,7124,0,2297,1,0.0,inf
fab,7124,0,2297,1,0.0,inf
advertise,7124,0,2297,1,0.0,inf
tyler,7124,0,2297,1,0.0,inf
naturalize,7124,0,2297,1,0.0,inf
verifiability,7124,0,2297,1,0.0,inf
constellations,7124,0,2297,1,0.0,inf
constituency,7124,0,2286,12,0.0,inf
harmonizations,7124,0,2297,1,0.0,inf
harmonized,7124,0,2297,1,0.0,inf
cooccur,7124,0,2297,1,0.0,inf
combinator,7124,0,2297,1,0.0,inf
nondecreasing,7124,0,2297,1,0.0,inf
ucdp,7124,0,2297,1,0.0,inf
ucca,7124,0,2296,2,0.0,inf
vggs,7124,0,2297,1,0.0,inf
nat,7124,0,2297,1,0.0,inf
normalising,7124,0,2297,1,0.0,inf
wrongly,7124,0,2296,2,0.0,inf
concordant,7124,0,2296,2,0.0,inf
concord,7124,0,2297,1,0.0,inf
tpp,7124,0,2297,1,0.0,inf
float,7124,0,2297,1,0.0,inf
gic,7124,0,2297,1,0.0,inf
coursework,7124,0,2297,1,0.0,inf
hasselt,7124,0,2297,1,0.0,inf
nonparametrics,7124,0,2297,1,0.0,inf
columnwise,7124,0,2297,1,0.0,inf
policymaking,7124,0,2297,1,0.0,inf
paroush,7124,0,2297,1,0.0,inf
parlai,7124,0,2297,1,0.0,inf
ols,7124,0,2296,2,0.0,inf
cubically,7124,0,2297,1,0.0,inf
16x,7124,0,2296,2,0.0,inf
factoriza,7124,0,2297,1,0.0,inf
10b,7124,0,2297,1,0.0,inf
overshadowing,7124,0,2297,1,0.0,inf
hgr,7124,0,2297,1,0.0,inf
folding,7124,0,2297,1,0.0,inf
cvae,7124,0,2297,1,0.0,inf
parameterises,7124,0,2297,1,0.0,inf
tribution,7124,0,2297,1,0.0,inf
oja,7124,0,2296,2,0.0,inf
estimable,7124,0,2297,1,0.0,inf
volatile,7124,0,2297,1,0.0,inf
ger,7124,0,2297,1,0.0,inf
factoring,7124,0,2295,3,0.0,inf
foil,7124,0,2297,1,0.0,inf
fofe,7124,0,2297,1,0.0,inf
genera,7124,0,2297,1,0.0,inf
eschew,7124,0,2297,1,0.0,inf
vladimir,7124,0,2297,1,0.0,inf
translatable,7124,0,2297,1,0.0,inf
vishwanathan,7124,0,2297,1,0.0,inf
muse,7124,0,2297,1,0.0,inf
transports,7124,0,2297,1,0.0,inf
hhmm,7124,0,2297,1,0.0,inf
genericness,7124,0,2297,1,0.0,inf
pmwiki,7124,0,2297,1,0.0,inf
coexisting,7124,0,2297,1,0.0,inf
50k,7124,0,2297,1,0.0,inf
esms,7124,0,2297,1,0.0,inf
conclaves,7124,0,2297,1,0.0,inf
omposite,7124,0,2297,1,0.0,inf
464,7124,0,2297,1,0.0,inf
afflicted,7124,0,2297,1,0.0,inf
escort,7124,0,2297,1,0.0,inf
1001,7124,0,2297,1,0.0,inf
counseling,7124,0,2297,1,0.0,inf
foley,7124,0,2297,1,0.0,inf
parameterisations,7124,0,2297,1,0.0,inf
codifies,7124,0,2297,1,0.0,inf
concert,7124,0,2297,1,0.0,inf
parameterisable,7124,0,2297,1,0.0,inf
muticategorical,7124,0,2297,1,0.0,inf
hermann,7124,0,2297,1,0.0,inf
108k,7124,0,2297,1,0.0,inf
hermitian,7124,0,2297,1,0.0,inf
